0,0,0,0,0,0,0,0,0,0,4,4,2,11
-3.901,2.485,-0.95,0.702,-0.47,1.146,-0.109,1.597,0.146,-1.197,2,3,0,8
-4.708,3.269,-1.121,0.701,0.437,0.176,0.552,0.004,-0.168,-1.484,2,2,0,9
-3,1.524,-0.866,1.015,-0.4,0.861,0.174,0.938,-0.216,-1.01,0,3,0,10
-3.347,-0.159,-0.414,0.922,0.973,0.978,0.929,-1.211,-1.268,0.278,0,1,0,0
-3.518,0.716,-0.365,1.788,0.584,1.678,-0.109,-0.016,-1.501,0.002,2,3,0,1
-2.875,0.868,-0.728,1.439,0.355,0.846,-0.378,-0.233,-1.072,0.505,0,2,0,2
-2.612,1.403,-0.87,0.47,-0.448,0.172,-0.06,-0.656,-0.334,0.087,0,1,0,3
-2.859,2.255,-0.676,0.098,-1.086,0.041,0.732,0.305,-0.141,-0.636,0,2,0,4
-2.497,1.692,-0.607,0.02,-0.71,0.612,0.093,0.272,-0.06,-0.507,2,2,0,5
-3.236,2.745,-0.806,-0.2,-0.386,0.358,0.889,0.516,-0.297,-1.075,2,3,0,6
-4.188,3.229,-0.456,1.077,-1.385,-0.104,0.459,0.558,0.701,-0.32,2,3,0,7
-3.775,2.188,-1.017,0.687,-0.464,1.189,-0.157,1.673,-0.024,-1.144,0,1,0,8
-4.744,3.385,-0.886,0.571,0.235,0.183,0.357,0.04,0.203,-1.68,0,2,0,9
-3.046,1.462,-0.823,0.935,-0.44,0.849,0.085,0.865,-0.178,-0.954,2,3,0,10
-3.594,-0.137,-0.028,1.018,1.069,0.723,0.695,-0.982,-1.433,0.249,1,2,0,0
-3.426,0.584,-0.469,1.776,0.566,1.686,0.07,0.081,-1.483,-0.141,0,1,0,1
-3.086,1.01,-0.627,1.508,0.338,0.747,-0.479,-0.323,-1.087,0.645,0,3,0,4
-2.75,1.475,-0.848,0.364,-0.275,0.02,-0.003,-0.782,-0.291,0.167,0,2,0,3
-2.846,2.43,-0.78,-0.153,-0.905,0.24,0.746,0.14,-0.114,-0.746,0,3,0,4
-2.511,1.511,-0.555,0.226,-0.735,0.631,-0.006,0.52,-0.138,-0.651,0,1,0,5
-3.124,2.733,-0.857,-0.334,-0.312,0.587,0.849,0.475,-0.174,-0.899,1,1,0,6
-4.175,3.32,-0.446,0.988,-1.48,0.133,0.507,0.605,0.691,-0.462,0,1,0,7
-3.777,2.064,-0.983,0.846,-0.373,0.96,-0.04,1.331,0.247,-1.09,0,3,1,8
-4.788,3.632,-0.71,0.3,0.366,-0.121,0.403,-0.016,0.124,-1.32,2,3,0,9
-3.006,1.407,-0.875,0.945,-0.495,0.721,0.212,0.75,-0.037,-1.054,0,3,0,10
-3.781,-0.011,0.102,1.115,1.036,0.651,0.615,-1.082,-1.272,0.05,2,3,0,5
-3.394,0.557,-0.573,1.704,0.608,1.644,0.109,0.2,-1.507,-0.225,2,2,0,1
-3.091,0.935,-0.574,1.36,0.416,0.764,-0.48,-0.144,-1.295,0.696,0,2,0,2
-2.85,1.446,-0.792,0.482,-0.365,0.046,-0.029,-0.761,-0.251,0.113,3,3,0,3
-2.884,2.424,-0.764,-0.108,-1.015,0.361,0.712,0.133,-0.017,-0.847,0,3,0,4
-2.656,1.263,-0.527,0.464,-0.612,0.668,-0.16,0.857,-0.416,-0.596,0,3,0,5
-3.246,2.796,-0.867,-0.205,-0.316,0.808,0.824,0.062,-0.118,-0.749,0,1,0,6
-4.172,3.188,-0.375,1.028,-1.41,0.008,0.513,0.635,0.802,-0.28,0,1,0,7
-3.862,1.801,-0.717,1.133,-0.23,0.922,-0.223,1.264,0.194,-0.935,0,3,0,8
-4.836,3.871,-0.684,0.182,0.349,-0.176,0.317,0.059,-0.024,-1.13,1,1,0,9
-2.973,1.304,-0.849,0.984,-0.508,0.59,0.248,0.728,0.073,-1.107,1,3,0,10
-3.858,0.115,0.05,1.17,0.975,0.703,0.585,-1.191,-1.172,-0.076,0,3,0,0
-3.404,0.506,-0.591,1.627,0.66,1.456,0.068,0.381,-1.494,-0.453,1,1,0,1
-2.952,0.777,-0.74,1.311,0.424,0.853,-0.319,-0.082,-1.456,0.616,0,1,0,2
-3.005,1.472,-0.716,0.535,-0.392,0.054,-0.054,-0.686,-0.29,0.153,0,0,0,3
-2.898,2.421,-0.81,-0.043,-1.164,0.448,0.69,0.218,-0.078,-0.876,1,3,0,8
